emoji,int,hex
🎡,127905,0x1f3a1
🎢,127906,0x1f3a2
🎣,127907,0x1f3a3
🎤,127908,0x1f3a4
🎥,127909,0x1f3a5
🎦,127910,0x1f3a6
🎧,127911,0x1f3a7
🎨,127912,0x1f3a8
🎩,127913,0x1f3a9
🎪,127914,0x1f3aa
🎫,127915,0x1f3ab
🎬,127916,0x1f3ac
🎭,127917,0x1f3ad
🎮,127918,0x1f3ae
🎯,127919,0x1f3af
🎰,127920,0x1f3b0
🎱,127921,0x1f3b1
🎲,127922,0x1f3b2
🎳,127923,0x1f3b3
🎴,127924,0x1f3b4
🎵,127925,0x1f3b5
🎶,127926,0x1f3b6
🎷,127927,0x1f3b7
🎸,127928,0x1f3b8
🎹,127929,0x1f3b9
🎺,127930,0x1f3ba
🎻,127931,0x1f3bb
🎼,127932,0x1f3bc
🎽,127933,0x1f3bd
🎾,127934,0x1f3be
🎿,127935,0x1f3bf
🏀,127936,0x1f3c0
🏁,127937,0x1f3c1
🏂,127938,0x1f3c2
🏃,127939,0x1f3c3
🏄,127940,0x1f3c4
🏅,127941,0x1f3c5
🏆,127942,0x1f3c6
🏇,127943,0x1f3c7
🏈,127944,0x1f3c8
🏉,127945,0x1f3c9
🏊,127946,0x1f3ca
🏋,127947,0x1f3cb
🏌,127948,0x1f3cc
🏍,127949,0x1f3cd
🏎,127950,0x1f3ce
🏏,127951,0x1f3cf
🏐,127952,0x1f3d0
🏑,127953,0x1f3d1
🏒,127954,0x1f3d2
🏓,127955,0x1f3d3
🏔,127956,0x1f3d4
🏕,127957,0x1f3d5
🏖,127958,0x1f3d6
🏗,127959,0x1f3d7
🏘,127960,0x1f3d8
🏙,127961,0x1f3d9
🏚,127962,0x1f3da
🏛,127963,0x1f3db
🏜,127964,0x1f3dc
🏝,127965,0x1f3dd
🏞,127966,0x1f3de
🏟,127967,0x1f3df
🏠,127968,0x1f3e0
🏡,127969,0x1f3e1
🏢,127970,0x1f3e2
🏣,127971,0x1f3e3
🏤,127972,0x1f3e4
🏥,127973,0x1f3e5
🏦,127974,0x1f3e6
🏧,127975,0x1f3e7
🏨,127976,0x1f3e8
🏩,127977,0x1f3e9
🏪,127978,0x1f3ea
🏫,127979,0x1f3eb
🏬,127980,0x1f3ec
🏭,127981,0x1f3ed
🏮,127982,0x1f3ee
🏯,127983,0x1f3ef
🏰,127984,0x1f3f0
🏱,127985,0x1f3f1
🏲,127986,0x1f3f2
🏳,127987,0x1f3f3
🏴,127988,0x1f3f4
🏵,127989,0x1f3f5
🏶,127990,0x1f3f6
🏷,127991,0x1f3f7
🏸,127992,0x1f3f8
🏹,127993,0x1f3f9
🏺,127994,0x1f3fa
🏻,127995,0x1f3fb
🏼,127996,0x1f3fc
🏽,127997,0x1f3fd
🏾,127998,0x1f3fe
🏿,127999,0x1f3ff
🐀,128000,0x1f400
🐁,128001,0x1f401
🐂,128002,0x1f402
🐃,128003,0x1f403
🐄,128004,0x1f404
🐅,128005,0x1f405
🐆,128006,0x1f406
🐇,128007,0x1f407
🐈,128008,0x1f408
🐉,128009,0x1f409
🐊,128010,0x1f40a
🐋,128011,0x1f40b
🐌,128012,0x1f40c
🐍,128013,0x1f40d
🐎,128014,0x1f40e
🐏,128015,0x1f40f
🐐,128016,0x1f410
🐑,128017,0x1f411
🐒,128018,0x1f412
🐓,128019,0x1f413
🐔,128020,0x1f414
🐕,128021,0x1f415
🐖,128022,0x1f416
🐗,128023,0x1f417
🐘,128024,0x1f418
🐙,128025,0x1f419
🐚,128026,0x1f41a
🐛,128027,0x1f41b
🐜,128028,0x1f41c
🐝,128029,0x1f41d
🐞,128030,0x1f41e
🐟,128031,0x1f41f
🐠,128032,0x1f420
🐡,128033,0x1f421
🐢,128034,0x1f422
🐣,128035,0x1f423
🐤,128036,0x1f424
🐥,128037,0x1f425
🐦,128038,0x1f426
🐧,128039,0x1f427
🐨,128040,0x1f428
🐩,128041,0x1f429
🐪,128042,0x1f42a
🐫,128043,0x1f42b
🐬,128044,0x1f42c
🐭,128045,0x1f42d
🐮,128046,0x1f42e
🐯,128047,0x1f42f
🐰,128048,0x1f430
🐱,128049,0x1f431
🐲,128050,0x1f432
🐳,128051,0x1f433
🐴,128052,0x1f434
🐵,128053,0x1f435
🐶,128054,0x1f436
🐷,128055,0x1f437
🐸,128056,0x1f438
🐹,128057,0x1f439
🐺,128058,0x1f43a
🐻,128059,0x1f43b
🐼,128060,0x1f43c
🐽,128061,0x1f43d
🐾,128062,0x1f43e
🐿,128063,0x1f43f
👀,128064,0x1f440
👁,128065,0x1f441
👂,128066,0x1f442
👃,128067,0x1f443
👄,128068,0x1f444
👅,128069,0x1f445
👆,128070,0x1f446
👇,128071,0x1f447
👈,128072,0x1f448
👉,128073,0x1f449
👊,128074,0x1f44a
👋,128075,0x1f44b
👌,128076,0x1f44c
👍,128077,0x1f44d
👎,128078,0x1f44e
👏,128079,0x1f44f
👐,128080,0x1f450
👑,128081,0x1f451
👒,128082,0x1f452
👓,128083,0x1f453
👔,128084,0x1f454
👕,128085,0x1f455
👖,128086,0x1f456
👗,128087,0x1f457
👘,128088,0x1f458
👙,128089,0x1f459
👚,128090,0x1f45a
👛,128091,0x1f45b
👜,128092,0x1f45c
👝,128093,0x1f45d
👞,128094,0x1f45e
👟,128095,0x1f45f
👠,128096,0x1f460
👡,128097,0x1f461
👢,128098,0x1f462
👣,128099,0x1f463
👤,128100,0x1f464
👥,128101,0x1f465
👦,128102,0x1f466
👧,128103,0x1f467
👨,128104,0x1f468
👩,128105,0x1f469
👪,128106,0x1f46a
👫,128107,0x1f46b
👬,128108,0x1f46c
👭,128109,0x1f46d
👮,128110,0x1f46e
👯,128111,0x1f46f
👰,128112,0x1f470
👱,128113,0x1f471
👲,128114,0x1f472
👳,128115,0x1f473
👴,128116,0x1f474
👵,128117,0x1f475
👶,128118,0x1f476
👷,128119,0x1f477
👸,128120,0x1f478
👹,128121,0x1f479
👺,128122,0x1f47a
👻,128123,0x1f47b
👼,128124,0x1f47c
👽,128125,0x1f47d
👾,128126,0x1f47e
👿,128127,0x1f47f
💀,128128,0x1f480
💁,128129,0x1f481
💂,128130,0x1f482
💃,128131,0x1f483
💄,128132,0x1f484
💅,128133,0x1f485
💆,128134,0x1f486
💇,128135,0x1f487
💈,128136,0x1f488
💉,128137,0x1f489
💊,128138,0x1f48a
💋,128139,0x1f48b
💌,128140,0x1f48c
💍,128141,0x1f48d
💎,128142,0x1f48e
💏,128143,0x1f48f
💐,128144,0x1f490
💑,128145,0x1f491
💒,128146,0x1f492
💓,128147,0x1f493
💔,128148,0x1f494
💕,128149,0x1f495
💖,128150,0x1f496
💗,128151,0x1f497
💘,128152,0x1f498
💙,128153,0x1f499
💚,128154,0x1f49a
💛,128155,0x1f49b
💜,128156,0x1f49c
💝,128157,0x1f49d
💞,128158,0x1f49e
💟,128159,0x1f49f
💠,128160,0x1f4a0
💡,128161,0x1f4a1
💢,128162,0x1f4a2
💣,128163,0x1f4a3
💤,128164,0x1f4a4
💥,128165,0x1f4a5
💦,128166,0x1f4a6
💧,128167,0x1f4a7
💨,128168,0x1f4a8
💩,128169,0x1f4a9
💪,128170,0x1f4aa
💫,128171,0x1f4ab
💬,128172,0x1f4ac
💭,128173,0x1f4ad
💮,128174,0x1f4ae
💯,128175,0x1f4af
💰,128176,0x1f4b0
💱,128177,0x1f4b1
💲,128178,0x1f4b2
💳,128179,0x1f4b3
💴,128180,0x1f4b4
💵,128181,0x1f4b5
💶,128182,0x1f4b6
💷,128183,0x1f4b7
💸,128184,0x1f4b8
💹,128185,0x1f4b9
💺,128186,0x1f4ba
💻,128187,0x1f4bb
💼,128188,0x1f4bc
💽,128189,0x1f4bd
💾,128190,0x1f4be
💿,128191,0x1f4bf
📀,128192,0x1f4c0
📁,128193,0x1f4c1
📂,128194,0x1f4c2
📃,128195,0x1f4c3
📄,128196,0x1f4c4
📅,128197,0x1f4c5
📆,128198,0x1f4c6
